step,time,u_avg,u_exact_avg
187,0.041268,0.226820,0.226830
188,0.041489,0.226608,0.226619
189,0.041710,0.226396,0.226407
190,0.041930,0.226185,0.226195
191,0.042151,0.225973,0.225984
192,0.042372,0.225762,0.225773
193,0.042593,0.225551,0.225562
194,0.042813,0.225340,0.225352
195,0.043034,0.225130,0.225141
196,0.043255,0.224920,0.224931
197,0.043475,0.224710,0.224721
198,0.043696,0.224500,0.224511
199,0.043917,0.224290,0.224301
200,0.044137,0.224080,0.224092
