step,time,u_avg,u_exact_avg
748,0.165074,0.134265,0.134290
752,0.165956,0.133764,0.133789
756,0.166839,0.133265,0.133290
760,0.167722,0.132767,0.132793
764,0.168605,0.132272,0.132298
768,0.169487,0.131778,0.131804
772,0.170370,0.131286,0.131312
776,0.171253,0.130797,0.130822
780,0.172136,0.130308,0.130334
784,0.173018,0.129822,0.129848
788,0.173901,0.129338,0.129364
792,0.174784,0.128855,0.128881
796,0.175667,0.128374,0.128400
800,0.176549,0.127895,0.127921
804,0.177432,0.127418,0.127444
808,0.178315,0.126943,0.126969
812,0.179198,0.126469,0.126495
816,0.180080,0.125997,0.126023
820,0.180963,0.125527,0.125553
824,0.181846,0.125058,0.125085
828,0.182729,0.124592,0.124618
832,0.183611,0.124127,0.124153
836,0.184494,0.123663,0.123690
840,0.185377,0.123202,0.123228
844,0.186259,0.122742,0.122769
848,0.187142,0.122284,0.122311
852,0.188025,0.121828,0.121854
856,0.188908,0.121373,0.121400
860,0.189790,0.120920,0.120947
864,0.190673,0.120469,0.120496
868,0.191556,0.120020,0.120046
872,0.192439,0.119572,0.119598
876,0.193321,0.119126,0.119152
880,0.194204,0.118681,0.118708
884,0.195087,0.118238,0.118265
888,0.195970,0.117797,0.117824
892,0.196852,0.117357,0.117384
896,0.197735,0.116919,0.116946
900,0.198618,0.116483,0.116510
904,0.199501,0.116048,0.116075
908,0.200383,0.115615,0.115642
912,0.201266,0.115184,0.115211
916,0.202149,0.114754,0.114781
920,0.203032,0.114326,0.114353
924,0.203914,0.113899,0.113926
928,0.204797,0.113474,0.113501
932,0.205680,0.113051,0.113078
936,0.206563,0.112629,0.112656
940,0.207445,0.112209,0.112235
944,0.208328,0.111790,0.111817
948,0.209211,0.111373,0.111400
952,0.210094,0.110957,0.110984
956,0.210976,0.110543,0.110570
960,0.211859,0.110131,0.110157
964,0.212742,0.109720,0.109747
968,0.213625,0.109310,0.109337
972,0.214507,0.108902,0.108929
976,0.215390,0.108496,0.108523
980,0.216273,0.108091,0.108118
984,0.217156,0.107688,0.107715
988,0.218038,0.107286,0.107313
992,0.218921,0.106885,0.106912
996,0.219804,0.106487,0.106514
1000,0.220687,0.106089,0.106116
1004,0.221569,0.105693,0.105720
1008,0.222452,0.105299,0.105326
1012,0.223335,0.104906,0.104933
1016,0.224218,0.104515,0.104542
1020,0.225100,0.104125,0.104152
1024,0.225983,0.103736,0.103763
1028,0.226866,0.103349,0.103376
1032,0.227749,0.102963,0.102990
1036,0.228631,0.102579,0.102606
1040,0.229514,0.102196,0.102223
1044,0.230397,0.101815,0.101842
1048,0.231280,0.101435,0.101462
1052,0.232162,0.101056,0.101083
1056,0.233045,0.100679,0.100706
1060,0.233928,0.100304,0.100331
1064,0.234811,0.099929,0.099956
1068,0.235693,0.099556,0.099583
1072,0.236576,0.099185,0.099212
1076,0.237459,0.098815,0.098842
1080,0.238342,0.098446,0.098473
