step,time,u_avg_total,u_avg_cube
35400,103.814758,20.395834,38.608753
35600,104.401283,20.395840,38.554428
35800,104.987801,20.395844,38.500340
36000,105.574326,20.395847,38.446667
36200,106.160851,20.395851,38.393311
36400,106.747375,20.395853,38.340298
36600,107.333900,20.395857,38.287663
36800,107.920425,20.395859,38.235256
37000,108.506950,20.395863,38.183281
37200,109.093475,20.395864,38.131535
37400,109.680000,20.395870,38.080215
37600,110.266518,20.395874,38.029140
37800,110.853043,20.395878,37.978367
38000,111.439568,20.395882,37.927979
38200,112.026093,20.395887,37.877800
38400,112.612617,20.395891,37.828033
38600,113.199142,20.395895,37.778492
38800,113.785667,20.395899,37.729233
39000,114.372192,20.395903,37.680351
39200,114.958710,20.395906,37.631660
39400,115.545235,20.395912,37.583374
39600,116.131760,20.395916,37.535336
39800,116.718285,20.395920,37.487499
40000,117.304810,20.395922,37.440044
40200,117.891335,20.395926,37.392796
40400,118.477859,20.395929,37.345837
40600,119.064384,20.395933,37.299252
40800,119.650902,20.395935,37.252789
41000,120.237427,20.395939,37.206631
41200,120.823952,20.395943,37.160824
41400,121.410477,20.395945,37.115150
41600,121.997002,20.395948,37.069824
41800,122.583527,20.395952,37.024803
42000,123.170052,20.395956,36.979885
42200,123.756577,20.395958,36.935299
42400,124.343102,20.395962,36.891041
42600,124.929619,20.395964,36.846893
42800,125.516144,20.395967,36.803070
43000,126.102669,20.395971,36.759567
43200,126.689194,20.395973,36.716137
43400,127.275719,20.395975,36.672993
43600,127.862244,20.395979,36.630177
43800,128.448761,20.395983,36.587490
44000,129.035294,20.395985,36.545052
44200,129.621811,20.395988,36.502926
44400,130.208344,20.395992,36.460983
44600,130.794861,20.395994,36.419155
44800,131.381393,20.395996,36.377636
45000,131.967911,20.396000,36.336418
45200,132.554428,20.396002,36.295280
45400,133.140961,20.396006,36.254429
45600,133.727478,20.396009,36.213890
45800,134.314011,20.396013,36.173477
46000,134.900528,20.396015,36.133175
46200,135.487061,20.396019,36.093151
46400,136.073578,20.396023,36.053436
46600,136.660110,20.396025,36.013805
46800,137.246628,20.396029,35.974396
47000,137.833145,20.396032,35.935257
47200,138.419678,20.396036,35.896355
47400,139.006195,20.396038,35.857506
47600,139.592728,20.396040,35.818893
47800,140.179245,20.396044,35.780537
48000,140.765778,20.396046,35.742397
48200,141.352295,20.396048,35.704319
48400,141.938812,20.396049,35.666515
48600,142.525345,20.396051,35.628983
48800,143.111862,20.396055,35.591610
49000,143.698395,20.396055,35.554283
49200,144.284912,20.396057,35.517174
49400,144.871445,20.396061,35.480312
49600,145.457962,20.396063,35.443699
49800,146.044495,20.396067,35.407124
50000,146.631012,20.396069,35.370766
50200,147.217529,20.396069,35.334621
50400,147.804062,20.396072,35.298759
50600,148.390579,20.396072,35.262928
50800,148.977112,20.396074,35.227192
51000,149.563629,20.396076,35.191734
51200,150.150162,20.396078,35.156517
51400,150.736679,20.396082,35.121429
51600,151.323212,20.396084,35.086395
51800,151.909729,20.396086,35.051617
52000,152.496246,20.396088,35.017029
52200,153.082779,20.396091,34.982697
52400,153.669296,20.396093,34.948391
52600,154.255829,20.396093,34.914146
52800,154.842346,20.396095,34.880154
53000,155.428879,20.396095,34.846344
53200,156.015396,20.396097,34.812775
53400,156.601913,20.396097,34.779232
53600,157.188446,20.396097,34.745815
53800,157.774963,20.396099,34.712654
54000,158.361496,20.396101,34.679710
54200,158.948013,20.396103,34.646912
54400,159.534546,20.396105,34.614136
54600,160.121063,20.396103,34.581432
54800,160.707596,20.396105,34.548977
55000,161.294113,20.396105,34.516708
55200,161.880630,20.396107,34.484669
55400,162.467163,20.396109,34.452641
55600,163.053680,20.396109,34.420704
55800,163.640213,20.396109,34.389004
56000,164.226730,20.396109,34.357460
56200,164.813263,20.396111,34.326157
56400,165.399780,20.396111,34.294888
56600,165.986313,20.396111,34.263641
56800,166.572830,20.396111,34.232529
57000,167.159348,20.396111,34.201649
57200,167.745880,20.396111,34.170967
57400,168.332397,20.396111,34.140450
57600,168.918930,20.396111,34.109951
57800,169.505447,20.396111,34.079517
58000,170.091980,20.396112,34.049309
58200,170.678497,20.396112,34.019238
58400,171.265015,20.396114,33.989441
58600,171.851547,20.396114,33.959690
58800,172.438065,20.396114,33.929958
59000,173.024597,20.396112,33.900280
59200,173.611115,20.396112,33.870811
59400,174.197647,20.396112,33.841476
59600,174.784164,20.396112,33.812382
59800,175.370697,20.396112,33.783398
60000,175.957214,20.396111,33.754421
60200,176.543732,20.396111,33.725502
60400,177.130264,20.396111,33.696812
60600,177.716782,20.396111,33.668240
60800,178.303314,20.396111,33.639896
61000,178.889832,20.396111,33.611668
61200,179.476364,20.396109,33.583454
61400,180.062881,20.396107,33.555260
61600,180.649414,20.396107,33.527161
61800,181.235931,20.396107,33.499313
62000,181.822449,20.396107,33.471539
62200,182.408981,20.396107,33.444023
62400,182.995499,20.396105,33.416557
62600,183.582031,20.396103,33.389111
62800,184.168549,20.396103,33.361698
63000,184.755081,20.396101,33.334484
63200,185.341599,20.396101,33.307419
63400,185.928116,20.396101,33.280506
63600,186.514648,20.396101,33.253799
63800,187.101166,20.396101,33.227100
64000,187.687698,20.396101,33.200413
64200,188.274216,20.396099,33.173759
64400,188.860748,20.396097,33.147240
64600,189.447266,20.396095,33.120926
64800,190.033798,20.396095,33.094700
65000,190.620316,20.396095,33.068733
65200,191.206833,20.396095,33.042797
65400,191.793365,20.396095,33.016876
65600,192.379883,20.396093,32.990967
65800,192.966415,20.396091,32.965179
66000,193.552933,20.396090,32.939606
66200,194.139465,20.396090,32.914093
66400,194.725983,20.396090,32.888817
66600,195.312515,20.396090,32.863640
66800,195.899033,20.396088,32.838467
67000,196.485550,20.396086,32.813313
67200,197.072083,20.396084,32.788174
67400,197.658600,20.396082,32.763165
67600,198.245132,20.396080,32.738358
67800,198.831650,20.396078,32.713600
68000,199.418182,20.396076,32.689053
68200,200.004700,20.396074,32.664642
68400,200.591217,20.396072,32.640232
68600,201.177750,20.396070,32.615829
68800,201.764267,20.396067,32.591473
69000,202.350800,20.396065,32.567253
69200,202.937317,20.396061,32.543224
69400,203.523849,20.396059,32.519226
69600,204.110367,20.396057,32.495415
69800,204.696899,20.396055,32.471760
70000,205.283417,20.396053,32.448116
70200,205.869934,20.396051,32.424473
70400,206.456467,20.396049,32.400848
70600,207.042984,20.396046,32.377254
70800,207.629517,20.396044,32.353848
71000,208.216034,20.396042,32.330582
71200,208.802567,20.396038,32.307362
71400,209.389084,20.396036,32.284313
71600,209.975601,20.396034,32.261425
71800,210.562134,20.396032,32.238537
72000,211.148651,20.396030,32.215660
72200,211.735184,20.396027,32.192795
72400,212.321701,20.396023,32.169994
72600,212.908234,20.396021,32.147388
72800,213.494751,20.396019,32.124889
73000,214.081284,20.396017,32.102428
73200,214.667801,20.396015,32.080170
73400,215.254318,20.396013,32.058044
73600,215.840851,20.396011,32.035923
73800,216.427368,20.396008,32.013809
74000,217.013901,20.396006,31.991728
74200,217.600418,20.396004,31.969757
74400,218.186951,20.396000,31.947878
74600,218.773468,20.395996,31.926132
74800,219.360001,20.395994,31.904400
75000,219.946518,20.395990,31.882689
75200,220.533035,20.395987,31.861095
75400,221.119568,20.395983,31.839586
75600,221.706085,20.395981,31.818218
75800,222.292618,20.395977,31.796864
76000,222.879135,20.395973,31.775541
76200,223.465668,20.395969,31.754345
76400,224.052185,20.395966,31.733232
76600,224.638702,20.395964,31.712248
76800,225.225235,20.395960,31.691277
77000,225.811752,20.395956,31.670324
77200,226.398285,20.395954,31.649467
77400,226.984802,20.395950,31.628700
77600,227.571335,20.395948,31.608061
77800,228.157852,20.395945,31.587463
78000,228.744385,20.395943,31.566887
78200,229.330902,20.395939,31.546385
78400,229.917419,20.395935,31.525988
78600,230.503952,20.395931,31.505709
78800,231.090469,20.395929,31.485495
