step,time,u_avg,u_exact_avg
2880,0.161367,0.133342,0.133348
2896,0.162264,0.132837,0.132843
2912,0.163160,0.132334,0.132340
2928,0.164057,0.131832,0.131839
2944,0.164953,0.131333,0.131339
2960,0.165850,0.130835,0.130842
2976,0.166746,0.130339,0.130346
2992,0.167643,0.129846,0.129852
3008,0.168539,0.129354,0.129360
3024,0.169436,0.128863,0.128870
3040,0.170332,0.128375,0.128382
3056,0.171229,0.127889,0.127895
3072,0.172125,0.127404,0.127411
3088,0.173022,0.126922,0.126928
3104,0.173918,0.126441,0.126447
3120,0.174815,0.125962,0.125968
3136,0.175711,0.125484,0.125491
3152,0.176608,0.125009,0.125016
3168,0.177504,0.124535,0.124542
3184,0.178401,0.124063,0.124070
3200,0.179297,0.123593,0.123600
3216,0.180194,0.123125,0.123132
3232,0.181090,0.122659,0.122665
3248,0.181987,0.122194,0.122200
3264,0.182883,0.121731,0.121738
3280,0.183780,0.121270,0.121276
3296,0.184676,0.120810,0.120817
3312,0.185572,0.120353,0.120359
3328,0.186469,0.119897,0.119903
3344,0.187365,0.119442,0.119449
3360,0.188262,0.118990,0.118996
3376,0.189158,0.118539,0.118546
3392,0.190055,0.118090,0.118096
3408,0.190951,0.117642,0.117649
3424,0.191848,0.117197,0.117203
3440,0.192744,0.116753,0.116759
3456,0.193641,0.116310,0.116317
3472,0.194537,0.115870,0.115876
3488,0.195434,0.115430,0.115437
3504,0.196330,0.114993,0.115000
3520,0.197227,0.114557,0.114564
3536,0.198123,0.114123,0.114130
3552,0.199020,0.113691,0.113698
3568,0.199916,0.113260,0.113267
3584,0.200813,0.112831,0.112838
3600,0.201709,0.112404,0.112410
3616,0.202606,0.111978,0.111984
3632,0.203502,0.111553,0.111560
3648,0.204399,0.111131,0.111138
3664,0.205295,0.110710,0.110717
3680,0.206192,0.110290,0.110297
3696,0.207088,0.109872,0.109879
3712,0.207985,0.109456,0.109463
3728,0.208881,0.109041,0.109048
3744,0.209778,0.108628,0.108635
3760,0.210674,0.108217,0.108223
3776,0.211571,0.107807,0.107813
3792,0.212467,0.107398,0.107405
3808,0.213364,0.106991,0.106998
3824,0.214260,0.106586,0.106593
3840,0.215157,0.106182,0.106189
3856,0.216053,0.105780,0.105787
3872,0.216949,0.105379,0.105386
3888,0.217846,0.104980,0.104987
3904,0.218742,0.104582,0.104589
3920,0.219639,0.104186,0.104193
3936,0.220535,0.103791,0.103798
3952,0.221432,0.103398,0.103405
3968,0.222328,0.103006,0.103013
3984,0.223225,0.102616,0.102623
4000,0.224121,0.102227,0.102234
4016,0.225018,0.101840,0.101846
4032,0.225914,0.101454,0.101461
4048,0.226811,0.101069,0.101076
4064,0.227707,0.100686,0.100693
4080,0.228604,0.100305,0.100312
4096,0.229500,0.099925,0.099932
4112,0.230397,0.099546,0.099553
4128,0.231293,0.099169,0.099176
4144,0.232190,0.098793,0.098800
4160,0.233086,0.098419,0.098426
4176,0.233983,0.098046,0.098053
4192,0.234879,0.097675,0.097682
4208,0.235776,0.097305,0.097311
4224,0.236672,0.096936,0.096943
4240,0.237569,0.096569,0.096576
4256,0.238465,0.096203,0.096210
4272,0.239362,0.095838,0.095845
4288,0.240258,0.095475,0.095482
4304,0.241155,0.095113,0.095120
4320,0.242051,0.094753,0.094760
4336,0.242948,0.094394,0.094401
4352,0.243844,0.094036,0.094043
4368,0.244741,0.093680,0.093687
4384,0.245637,0.093325,0.093332
4400,0.246533,0.092972,0.092978
4416,0.247430,0.092619,0.092626
4432,0.248326,0.092268,0.092275
4448,0.249223,0.091919,0.091926
4464,0.250119,0.091571,0.091577
4480,0.251016,0.091224,0.091230
4496,0.251912,0.090878,0.090885
4512,0.252809,0.090534,0.090540
4528,0.253705,0.090191,0.090197
4544,0.254602,0.089849,0.089856
4560,0.255498,0.089509,0.089515
4576,0.256395,0.089169,0.089176
4592,0.257291,0.088832,0.088838
4608,0.258188,0.088495,0.088502
4624,0.259084,0.088160,0.088166
4640,0.259981,0.087826,0.087832
4656,0.260877,0.087493,0.087500
4672,0.261774,0.087161,0.087168
4688,0.262670,0.086831,0.086838
4704,0.263567,0.086502,0.086509
4720,0.264463,0.086174,0.086181
4736,0.265360,0.085848,0.085855
4752,0.266256,0.085523,0.085529
4768,0.267153,0.085199,0.085205
4784,0.268049,0.084876,0.084883
4800,0.268946,0.084554,0.084561
4816,0.269842,0.084234,0.084241
4832,0.270739,0.083915,0.083921
4848,0.271635,0.083597,0.083604
4864,0.272532,0.083280,0.083287
4880,0.273428,0.082965,0.082971
4896,0.274325,0.082650,0.082657
4912,0.275221,0.082337,0.082344
4928,0.276118,0.082025,0.082032
4944,0.277014,0.081714,0.081721
4960,0.277911,0.081405,0.081411
4976,0.278807,0.081096,0.081103
4992,0.279703,0.080789,0.080796
5008,0.280600,0.080483,0.080490
5024,0.281496,0.080178,0.080185
5040,0.282393,0.079874,0.079881
5056,0.283289,0.079572,0.079578
5072,0.284186,0.079270,0.079277
5088,0.285082,0.078970,0.078976
5104,0.285979,0.078671,0.078677
5120,0.286875,0.078372,0.078379
5136,0.287772,0.078076,0.078082
5152,0.288668,0.077780,0.077786
5168,0.289565,0.077485,0.077492
5184,0.290461,0.077191,0.077198
5200,0.291358,0.076899,0.076906
5216,0.292254,0.076608,0.076614
5232,0.293151,0.076317,0.076324
5248,0.294047,0.076028,0.076035
5264,0.294944,0.075740,0.075747
5280,0.295840,0.075453,0.075460
5296,0.296737,0.075167,0.075174
5312,0.297633,0.074882,0.074889
5328,0.298530,0.074599,0.074605
5344,0.299426,0.074316,0.074323
5360,0.300323,0.074035,0.074041
5376,0.301219,0.073754,0.073761
5392,0.302116,0.073475,0.073481
5408,0.303012,0.073196,0.073203
5424,0.303909,0.072919,0.072925
5440,0.304805,0.072643,0.072649
5456,0.305702,0.072367,0.072374
5472,0.306598,0.072093,0.072100
5488,0.307495,0.071820,0.071827
5504,0.308391,0.071548,0.071554
5520,0.309287,0.071277,0.071283
5536,0.310184,0.071007,0.071013
5552,0.311080,0.070738,0.070744
5568,0.311977,0.070470,0.070476
