step,time,u_avg,u_exact_avg
0,0.000000,0.282324,0.282324
1,0.000856,0.281301,0.281302
2,0.001712,0.280282,0.280284
3,0.002569,0.279267,0.279270
4,0.003425,0.278255,0.278260
5,0.004281,0.277247,0.277253
6,0.005137,0.276243,0.276249
7,0.005993,0.275242,0.275250
8,0.006850,0.274245,0.274254
9,0.007706,0.273252,0.273261
10,0.008562,0.272262,0.272272
11,0.009418,0.271276,0.271287
12,0.010274,0.270293,0.270305
13,0.011131,0.269314,0.269327
14,0.011987,0.268338,0.268353
15,0.012843,0.267366,0.267382
16,0.013699,0.266398,0.266414
17,0.014555,0.265433,0.265450
18,0.015412,0.264471,0.264489
19,0.016268,0.263513,0.263532
20,0.017124,0.262559,0.262579
21,0.017980,0.261607,0.261629
22,0.018836,0.260660,0.260682
23,0.019693,0.259716,0.259739
24,0.020549,0.258775,0.258799
25,0.021405,0.257837,0.257862
26,0.022261,0.256903,0.256929
27,0.023117,0.255973,0.255999
28,0.023974,0.255046,0.255073
29,0.024830,0.254122,0.254150
30,0.025686,0.253201,0.253230
31,0.026542,0.252284,0.252314
32,0.027398,0.251370,0.251401
33,0.028255,0.250459,0.250491
34,0.029111,0.249552,0.249585
35,0.029967,0.248648,0.248682
36,0.030823,0.247747,0.247782
37,0.031679,0.246850,0.246885
38,0.032536,0.245956,0.245992
39,0.033392,0.245065,0.245101
40,0.034248,0.244177,0.244215
41,0.035104,0.243293,0.243331
42,0.035960,0.242411,0.242450
43,0.036817,0.241533,0.241573
44,0.037673,0.240658,0.240699
45,0.038529,0.239786,0.239828
46,0.039385,0.238918,0.238960
47,0.040241,0.238052,0.238095
48,0.041098,0.237190,0.237234
49,0.041954,0.236331,0.236375
50,0.042810,0.235475,0.235520
51,0.043666,0.234622,0.234668
52,0.044522,0.233772,0.233818
53,0.045379,0.232925,0.232972
54,0.046235,0.232081,0.232129
55,0.047091,0.231240,0.231289
56,0.047947,0.230403,0.230452
57,0.048803,0.229568,0.229618
58,0.049660,0.228737,0.228787
59,0.050516,0.227908,0.227960
60,0.051372,0.227082,0.227135
61,0.052228,0.226260,0.226313
62,0.053084,0.225440,0.225494
63,0.053941,0.224623,0.224678
64,0.054797,0.223810,0.223865
65,0.055653,0.222999,0.223055
66,0.056509,0.222191,0.222248
67,0.057365,0.221386,0.221443
68,0.058222,0.220584,0.220642
69,0.059078,0.219785,0.219844
70,0.059934,0.218989,0.219048
71,0.060790,0.218196,0.218255
72,0.061646,0.217405,0.217466
73,0.062503,0.216618,0.216679
74,0.063359,0.215833,0.215895
75,0.064215,0.215051,0.215113
76,0.065071,0.214272,0.214335
77,0.065927,0.213496,0.213559
78,0.066784,0.212723,0.212787
79,0.067640,0.211952,0.212017
80,0.068496,0.211184,0.211249
81,0.069352,0.210419,0.210485
82,0.070208,0.209657,0.209723
83,0.071065,0.208898,0.208964
84,0.071921,0.208141,0.208208
85,0.072777,0.207387,0.207455
86,0.073633,0.206636,0.206704
87,0.074489,0.205887,0.205956
88,0.075346,0.205141,0.205211
89,0.076202,0.204398,0.204468
90,0.077058,0.203658,0.203728
91,0.077914,0.202920,0.202991
92,0.078770,0.202185,0.202256
93,0.079627,0.201453,0.201525
94,0.080483,0.200723,0.200795
95,0.081339,0.199996,0.200069
96,0.082195,0.199271,0.199345
97,0.083051,0.198549,0.198623
98,0.083908,0.197830,0.197905
99,0.084764,0.197114,0.197189
100,0.085620,0.196400,0.196475
101,0.086476,0.195688,0.195764
102,0.087332,0.194979,0.195056
103,0.088189,0.194273,0.194350
104,0.089045,0.193569,0.193646
105,0.089901,0.192868,0.192946
106,0.090757,0.192169,0.192248
107,0.091613,0.191473,0.191552
108,0.092470,0.190780,0.190859
109,0.093326,0.190089,0.190168
110,0.094182,0.189400,0.189480
111,0.095038,0.188714,0.188794
112,0.095894,0.188030,0.188111
113,0.096751,0.187349,0.187430
114,0.097607,0.186670,0.186752
115,0.098463,0.185994,0.186076
116,0.099319,0.185320,0.185403
117,0.100175,0.184649,0.184732
118,0.101032,0.183980,0.184064
119,0.101888,0.183314,0.183398
120,0.102744,0.182650,0.182734
121,0.103600,0.181988,0.182073
122,0.104456,0.181329,0.181414
123,0.105313,0.180672,0.180757
124,0.106169,0.180018,0.180103
125,0.107025,0.179365,0.179452
126,0.107881,0.178716,0.178802
127,0.108737,0.178068,0.178155
128,0.109594,0.177423,0.177510
129,0.110450,0.176781,0.176868
130,0.111306,0.176140,0.176228
131,0.112162,0.175502,0.175590
132,0.113018,0.174866,0.174955
133,0.113875,0.174233,0.174322
134,0.114731,0.173602,0.173691
135,0.115587,0.172973,0.173063
136,0.116443,0.172346,0.172436
137,0.117299,0.171722,0.171812
138,0.118155,0.171100,0.171191
139,0.119012,0.170480,0.170571
140,0.119868,0.169863,0.169954
141,0.120724,0.169247,0.169339
142,0.121580,0.168634,0.168726
143,0.122436,0.168023,0.168116
144,0.123293,0.167415,0.167507
145,0.124149,0.166808,0.166901
146,0.125005,0.166204,0.166297
147,0.125861,0.165602,0.165695
148,0.126717,0.165002,0.165096
149,0.127574,0.164404,0.164498
150,0.128430,0.163809,0.163903
151,0.129286,0.163215,0.163310
152,0.130142,0.162624,0.162719
153,0.130998,0.162035,0.162130
154,0.131855,0.161448,0.161543
155,0.132711,0.160863,0.160959
156,0.133567,0.160280,0.160376
157,0.134423,0.159700,0.159796
158,0.135279,0.159121,0.159218
159,0.136136,0.158545,0.158642
160,0.136992,0.157971,0.158068
161,0.137848,0.157398,0.157496
162,0.138704,0.156828,0.156926
163,0.139560,0.156260,0.156358
164,0.140417,0.155694,0.155792
165,0.141273,0.155130,0.155228
166,0.142129,0.154568,0.154667
167,0.142985,0.154008,0.154107
168,0.143841,0.153450,0.153549
169,0.144698,0.152894,0.152994
170,0.145554,0.152341,0.152440
171,0.146410,0.151789,0.151888
172,0.147266,0.151239,0.151339
173,0.148122,0.150691,0.150791
174,0.148979,0.150145,0.150245
175,0.149835,0.149601,0.149702
176,0.150691,0.149059,0.149160
177,0.151547,0.148519,0.148620
178,0.152403,0.147981,0.148082
179,0.153260,0.147445,0.147547
180,0.154116,0.146911,0.147013
181,0.154972,0.146379,0.146481
182,0.155828,0.145849,0.145951
183,0.156684,0.145320,0.145423
184,0.157541,0.144794,0.144896
185,0.158397,0.144269,0.144372
186,0.159253,0.143747,0.143850
187,0.160109,0.143226,0.143329
188,0.160965,0.142707,0.142810
189,0.161822,0.142190,0.142294
190,0.162678,0.141675,0.141779
191,0.163534,0.141162,0.141266
192,0.164390,0.140651,0.140754
193,0.165246,0.140141,0.140245
194,0.166103,0.139634,0.139738
195,0.166959,0.139128,0.139232
196,0.167815,0.138624,0.138728
197,0.168671,0.138122,0.138226
198,0.169527,0.137621,0.137726
199,0.170384,0.137123,0.137228
200,0.171240,0.136626,0.136731
201,0.172096,0.136131,0.136236
202,0.172952,0.135638,0.135743
203,0.173808,0.135147,0.135252
204,0.174665,0.134657,0.134763
205,0.175521,0.134169,0.134275
206,0.176377,0.133683,0.133789
207,0.177233,0.133199,0.133305
208,0.178089,0.132716,0.132822
209,0.178946,0.132236,0.132342
210,0.179802,0.131757,0.131863
211,0.180658,0.131279,0.131386
212,0.181514,0.130804,0.130910
213,0.182370,0.130330,0.130437
214,0.183227,0.129858,0.129965
215,0.184083,0.129387,0.129494
216,0.184939,0.128919,0.129026
217,0.185795,0.128452,0.128559
218,0.186651,0.127986,0.128094
219,0.187508,0.127523,0.127630
220,0.188364,0.127061,0.127168
221,0.189220,0.126601,0.126708
222,0.190076,0.126142,0.126250
223,0.190932,0.125685,0.125793
224,0.191789,0.125230,0.125338
225,0.192645,0.124776,0.124884
226,0.193501,0.124324,0.124432
227,0.194357,0.123874,0.123982
228,0.195213,0.123425,0.123533
229,0.196070,0.122978,0.123086
230,0.196926,0.122532,0.122641
231,0.197782,0.122089,0.122197
232,0.198638,0.121646,0.121755
233,0.199494,0.121206,0.121314
234,0.200351,0.120767,0.120875
235,0.201207,0.120329,0.120438
